method,latin,common,location
eDNA,Aurelia aurita,Moon Jellyfish,Offshore
eDNA,Balanus balanus,Barnacle,Coastal and offshore
eDNA,Balanus crenatus,Barnacle,Coastal and offshore
eDNA,Boonea bisaturalis,Two-groove snail (invasive),Coastal
eDNA,Botrylloides violaceus,Violet Tunicate (invasive),Coastal
eDNA,Botryllus schlosseri,Golden Star Tunicate (invasive),Coastal
eDNA,Bougainvillia muscus,Hydrozoan,Coastal
eDNA,Bougainvillia superciliaris,Hydrozoan jellyfish,Offshore
eDNA,Calanus finmarchicus,Copepod,Coastal and offshore
eDNA,Calanus glacialis,Copepod,Offshore
eDNA,Calanus hyperboreus,Copepod,Offshore
eDNA,Calliopius laeviusculus,Amphipod,Coastal
eDNA,Cancer irroratus,Rock Crab,Coastal
eDNA,Carcinus maenas,Green Crab,Coastal
eDNA,Capitella capitata,Polychaete worm,Coastal
eDNA,Centropages hamatus,Copepod,Coastal
eDNA,Centropages typicus,Copepod,Coastal
eDNA,Clausocalanus pergens,Copepod,Offshore
eDNA,Clymenella torquata,Polychaete worm,Coastal
eDNA,Clytia hemisphaerica,Hydrozoan jellyfish,Coastal
eDNA,Crepidula plana,Eastern white slippersnail,Coastal
eDNA,Cryptocotyle lingua,Parasitic flatworm,Coastal
eDNA,Cyrtodaria siliqua,Northern Propellerclam,Offshore
eDNA,Dexamine thea,Amphipod,Coastal
eDNA,Dinophilus vorticoides,Polychaete worm (possibly invasive),Coastal
eDNA,Doto coronata,Nudibranch (possibly invasive),Coastal
eDNA,Dynamena pumila,Hydrozoan,Coastal
eDNA,Echinarachnius parma,Common Sand dollar,Coastal
eDNA,Eualus pusiolus,Doll Shrimp,Offshore
eDNA,Eubranchus,Nudibranch,Offshore
eDNA,Euchlanis dilatata,Freshwater rotifer,Coastal
eDNA,Euclymene zonalis,Polychaete worm,Offshore
eDNA,Eurytemora herdmani,Copepod,Coastal and offshore
eDNA,Evadne nordmanni,Planktonic crustacean,Coastal and offshore
eDNA,Glycera dibranchiata,Bloodworm,Coastal
eDNA,Geukensia demissa,Atlantic Ribbed Mussel,Coastal
eDNA,Halocladius variabilis,Coastal midge,Offshore
eDNA,Halichondria panicea,Breadcrumb sponge,Coastal
eDNA,Harmothoe imbricata,Polychaete worm,Coastal
eDNA,Harpacticus uniremis,Copepod,Coastal
eDNA,Hypereteone heteropoda,Polychaete worm,Coastal
eDNA,Ilyanassa trivttata,Snail,Coastal
eDNA,Jaera albifrons,Isopod,Coastal
eDNA,Juxtacribilina mutabilis,Bryozoan (invasive),Coastal
eDNA,Kelliopsis elevata,Marine bivalve,Coastal
eDNA,Lacuna vincta,Lacuna snail,Coastal and offshore
eDNA,Laomedea flexuosa  ,Hydrozoan,Coastal
eDNA,Lepidonotus squamatus,Polychaete worm,Coastal
eDNA,Littorina littorea,Periwinkle snail,Coastal
eDNA,Macoma calcarea,Tellin Clam,Offshore
eDNA,Marenzelleria viridis,Polychaete worm,Offshore
eDNA,Membranipora membranacea,Bryozoan (invasive),Coastal and offshore
eDNA,Metridia lucens,Copepod,Offshore
eDNA,Micronephthys neotena,Polychaete worm,Offshore
eDNA,Microstomum,Polychaete worm,Offshore
eDNA,Micrura varicolor,Nemertean worm,Offshore
eDNA,Modiolus modiolus,Horse Mussel,Coastal
eDNA,Mya arenaria,Soft-shell clam,Coastal
eDNA,Mytilus trossulus,Pacific blue mussel,Coastal
eDNA,Myxicola infundibulum,Polychaete worm,Coastal
eDNA,Nicolea zostericola,Polychaete worm,Coastal
eDNA,Obelia geniculata,Hydroid,Coastal and offshore
