"","animal_id","local_area","num_dets","first_det","last_det","mean_lat","mean_lon"
"37","V2LNSSA-04D-2019-05-07","West River upper",2,2019-05-07 09:36:00,2019-05-07 09:36:00,44.9585454198472,-62.6177866412211
"38","V2LNSSA-05A-2019-05-07","Sheet Harbour",2864,2019-05-10 01:07:04,2019-06-22 04:29:47,44.9202516530958,-62.5386218284875
"39","V2LNSSA-05A-2019-05-07","Sheet Harbour passage",10,2019-05-10 00:34:39,2019-05-10 00:51:36,44.8665695404,-62.4962837203505
"40","V2LNSSA-05A-2019-05-07","West River upper",2,2019-05-07 09:36:00,2019-05-07 09:36:00,44.9585454198472,-62.6177866412211
"41","V2LNSSA-05B-2019-05-07","Sheet Harbour",2659,2019-05-13 00:14:57,2019-05-22 20:00:55,44.9202516530958,-62.5386218284875
"42","V2LNSSA-05B-2019-05-07","Sheet Harbour estuary",2366,2019-05-23 00:38:06,2019-06-08 00:56:18,44.8958021924533,-62.4850195539726
"43","V2LNSSA-05B-2019-05-07","Sheet Harbour passage",60,2019-05-12 19:14:17,2019-06-09 00:05:31,44.8665695404,-62.4962837203505
"44","V2LNSSA-05B-2019-05-07","West River upper",2,2019-05-07 09:36:00,2019-05-07 09:36:00,44.9585454198472,-62.6177866412211
"45","V2LNSSA-05C-2019-05-07","Sheet Harbour",9067,2019-05-08 19:24:27,2019-06-10 19:34:23,44.9202516530958,-62.5386218284875
"46","V2LNSSA-05C-2019-05-07","Sheet Harbour estuary",5392,2019-05-16 07:24:53,2019-06-15 18:47:08,44.8958021924533,-62.4850195539726
"47","V2LNSSA-05C-2019-05-07","Sheet Harbour passage",123,2019-05-08 12:55:35,2019-06-15 21:59:11,44.8665695404,-62.4962837203505
"48","V2LNSSA-05C-2019-05-07","West River upper",2,2019-05-07 09:36:00,2019-05-07 09:36:00,44.9585454198472,-62.6177866412211
"49","V2LNSSA-05D-2019-05-07","Sheet Harbour",841,2019-05-08 23:57:59,2019-05-09 11:04:15,44.9202516530958,-62.5386218284875
"50","V2LNSSA-05D-2019-05-07","Sheet Harbour passage",54,2019-05-08 20:00:26,2019-05-08 21:31:41,44.8665695404,-62.4962837203505
"51","V2LNSSA-05D-2019-05-07","West River upper",2,2019-05-07 09:36:00,2019-05-07 09:36:00,44.9585454198472,-62.6177866412211
"52","V2LNSSA-06C-2019-05-08","Sheet Harbour",752,2019-05-09 04:26:02,2019-05-10 09:23:25,44.9202516530958,-62.5386218284875
"53","V2LNSSA-06C-2019-05-08","Sheet Harbour passage",109,2019-05-09 00:22:03,2019-05-09 03:39:59,44.8665695404,-62.4962837203505
"54","V2LNSSA-06C-2019-05-08","West River upper",2,2019-05-08 09:36:00,2019-05-08 09:36:00,44.9585454198472,-62.6177866412211
"55","V2LNSSA-07A-2019-05-08","Sheet Harbour",1553,2019-05-10 00:00:53,2019-05-17 10:15:38,44.9202516530958,-62.5386218284875
"56","V2LNSSA-07A-2019-05-08","Sheet Harbour estuary",69,2019-05-12 15:31:31,2019-05-15 17:33:13,44.8958021924533,-62.4850195539726
"57","V2LNSSA-07A-2019-05-08","Sheet Harbour passage",13,2019-05-09 21:08:13,2019-05-09 22:13:04,44.8665695404,-62.4962837203505
"58","V2LNSSA-07A-2019-05-08","West River upper",2,2019-05-08 09:36:00,2019-05-08 09:36:00,44.9585454198472,-62.6177866412211
"59","V2LNSSA-07B-2019-05-08","Sheet Harbour passage",6,2019-05-09 15:14:58,2019-05-09 15:28:12,44.8665695404,-62.4962837203505
"60","V2LNSSA-07B-2019-05-08","West River upper",2,2019-05-08 09:36:00,2019-05-08 09:36:00,44.9585454198472,-62.6177866412211
"61","V2LNSSA-08C-2019-05-08","Sheet Harbour passage",173,2019-05-09 02:21:31,2019-05-09 08:04:41,44.8665695404,-62.4962837203505
"62","V2LNSSA-08C-2019-05-08","West River upper",2,2019-05-08 09:36:00,2019-05-08 09:36:00,44.9585454198472,-62.6177866412211
"63","V2LNSSA-08D-2019-05-08","Sheet Harbour",6036,2019-05-10 00:08:45,2019-05-13 16:10:12,44.9202516530958,-62.5386218284875
"64","V2LNSSA-08D-2019-05-08","Sheet Harbour passage",35,2019-05-09 16:14:28,2019-05-09 17:23:35,44.8665695404,-62.4962837203505
"65","V2LNSSA-08D-2019-05-08","West River upper",2,2019-05-08 09:36:00,2019-05-08 09:36:00,44.9585454198472,-62.6177866412211
"66","V2LNSSA-09A-2019-05-09","Sheet Harbour",4173,2019-05-10 01:05:55,2019-06-02 21:08:24,44.9202516530958,-62.5386218284875
"67","V2LNSSA-09A-2019-05-09","Sheet Harbour estuary",1654,2019-05-20 23:39:30,2019-06-06 00:40:22,44.8958021924533,-62.4850195539726
"68","V2LNSSA-09A-2019-05-09","Sheet Harbour passage",28,2019-05-09 22:11:52,2019-06-07 11:38:52,44.8665695404,-62.4962837203505
"69","V2LNSSA-09A-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"70","V2LNSSA-09B-2019-05-09","Sheet Harbour",2314,2019-05-09 23:52:16,2019-05-12 10:02:27,44.9202516530958,-62.5386218284875
"71","V2LNSSA-09B-2019-05-09","Sheet Harbour passage",4,2019-05-09 22:12:59,2019-05-09 22:22:48,44.8665695404,-62.4962837203505
"72","V2LNSSA-09B-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"73","V2LNSSA-09C-2019-05-09","Sheet Harbour",1473,2019-05-09 23:50:12,2019-05-11 00:34:22,44.9202516530958,-62.5386218284875
"74","V2LNSSA-09C-2019-05-09","Sheet Harbour passage",11,2019-05-09 21:30:25,2019-05-09 21:44:36,44.8665695404,-62.4962837203505
"75","V2LNSSA-09C-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"76","V2LNSSA-09D-2019-05-09","Sheet Harbour",56,2019-05-11 11:12:57,2019-05-11 12:00:49,44.9202516530958,-62.5386218284875
"77","V2LNSSA-09D-2019-05-09","Sheet Harbour passage",5,2019-05-09 20:04:14,2019-05-09 20:12:19,44.8665695404,-62.4962837203505
"78","V2LNSSA-09D-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"79","V2LNSSA-10B-2019-05-09","Sheet Harbour",1515,2019-05-11 00:16:25,2019-05-12 10:04:34,44.9202516530958,-62.5386218284875
"80","V2LNSSA-10B-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"81","V2LNSSA-10C-2019-05-09","Sheet Harbour",3837,2019-05-12 00:43:34,2019-05-14 18:27:47,44.9202516530958,-62.5386218284875
"82","V2LNSSA-10C-2019-05-09","Sheet Harbour passage",35,2019-05-11 20:44:08,2019-05-11 22:23:14,44.8665695404,-62.4962837203505
"83","V2LNSSA-10C-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"84","V2LNSSA-10D-2019-05-09","Sheet Harbour",928,2019-05-11 00:50:36,2019-06-25 08:43:00,44.9202516530958,-62.5386218284875
"85","V2LNSSA-10D-2019-05-09","Sheet Harbour estuary",70,2019-05-12 18:02:32,2019-05-15 20:40:12,44.8958021924533,-62.4850195539726
"86","V2LNSSA-10D-2019-05-09","Sheet Harbour passage",53,2019-05-10 10:42:44,2019-05-14 00:43:49,44.8665695404,-62.4962837203505
"87","V2LNSSA-10D-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"88","V2LNSSA-11A-2019-05-09","Sheet Harbour passage",16,2019-05-11 20:45:13,2019-05-11 21:15:40,44.8665695404,-62.4962837203505
"89","V2LNSSA-11A-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"90","V2LNSSA-11B-2019-05-09","Sheet Harbour",1491,2019-05-13 00:07:20,2019-05-19 13:55:01,44.9202516530958,-62.5386218284875
