Site_Name,Site_Number,Site_Code,Date,Longitude,Latitude
WreckCove,EDNA19-01,WRK02,15-Jul-19,63.51658,44.604676
ConrodBeach,EDNA19-02,CON,29-Jul-19,63.17831,44.70122
TaylorHeadBeach,EDNA19-03,TAE,30-Jul-19,62.5602,44.8098
TaylorHeadWest,EDNA19-04,TAW,12-Aug-19,62.5723,44.8207
Moosehead,EDNA19-05,MOS,13-Aug-19,62.2655,44.9416
FiftyAcreIsland,EDNA19-06,FAI,14-Aug-19,64.2678,44.3922
PleasantPoint,EDNA19-07,PLS,26-Aug-19,63.06964,44.69287
Rose Bay,EDNA19-08,RSE,29-Aug-19,64.28413,44.28634
CableIsland,EDNA19-09,CAB,10-Sep-19,62.79285,44.74451
FranksGeorge,EDNA19-10,FRK,26-Sep-19,63.9453,44.59499
